Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
731,OM SHREE KARUNAKARAYA SEVA TRUST,BKIV52/25-26,Trust,"No 31, Lakshmidevi Complex, Survey no 60/3A, Opp to Modern Diagnostics, T Dasarahalli, Bangalore - 560067 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560057","Children, Differently Abled, Education & Literacy, Micro Finance (SHGs), Religious",BENGALURU URBAN,sachin.sgbe@gmail.com,
732,OM SHREE SALLAPURAMMA CHARITABLE TRUST,RRN-4-00619-2024-25,Trust,"No 11, Shri Nikethana, 19th Cross, 4th Stage, Opp Temple Bells, Premier B Block Apartment, Ward No 160, Kenchenahalli, Rajarajeshwarinagar, Begaluru, Karanataka 560098 , Bengaluru, BENGALURU URBAN (Karnataka) - 560098","Differently Abled, Education & Literacy, Aged/Elderly",ALL,neeth77@gmail.com,
733,OM SRI SAMRUDDHI CHARITABLE TRUST,RJN-4-00101-2018-19,Trust,"No.101, 18th Main, Near Rajkumar Statue, J C Nagar, Kurubarahalli, Bengaluru - 560086 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560086","Civic Issues, Education & Literacy, Nutrition, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation",BENGALURU URBAN,Omsrisamruddhicharitabletrust@gmail.com,
734,OM SRI SHANKARA MUTT TRUST,82/2017-18,Trust,"NO.13,OFFICE NO.1, SOUNDARYA GARDENIA, HMT MAIN ROAD, JALAHALLI VILLAGE , BENGALURU, BENGALURU URBAN (Karnataka) - 560013","Agriculture, Art & Culture, Children, Differently Abled, Disaster Management",ALL,shankara@sbbuilders.co.in,
735,omega rehab federation,214/2016-17,Trust,"18, BHAVANI NILAYA, GROUND FLOOR, 2ND MAIN, SHAMANNA LAYOUT, KAVERI NAGAR, R.T. NAGAR POST, BANGALORE-560032. , BANGALORE, BENGALURU URBAN (Karnataka) - 560032","Differently Abled, Education & Literacy, Rural Development & Poverty Alleviation, Vocational Training",ALL,omegarehabfederation@gmail.com,http://www.omegarehabfederation.org/
736,OMEGA REHABILITATION TRUST,BNS-4-00065-2011-12,Trust,"30, TARALUBALU ENCLAVE, BEHIND SONY CENTRE, NEAR YELAHANKA BUS STAND, BENGALURU560064 , Bangalore, BENGALURU URBAN (Karnataka) - 560064","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,omega.rt24@gmail.com,
737,ONE & ONLY PEACEFUL TRUST,BKIV627/24-25,Trust,"3 doctors house mahaboob garden, Kogilu Layout, yelahanka post, Bengaluru , Bengaluru South, BENGALURU URBAN (Karnataka) - 560064","Agriculture, Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests",BENGALURU URBAN,Oneandonlypeacefultrust@gmail.com,
738,Oodles Infology India Foundation,BNG(U)-KNGR/66/2022-23,Trust,"NO 6 ASHA LAYOUT VALAGERAHALLI 2 STAGE 4TH MAIN , BANGALORE, BENGALURU URBAN (Karnataka) - 560060","Children, Differently Abled, Education & Literacy, Vocational Training, Skill Development",ALL,rakeshkashyap.r@gmail.com,
739,OREI MIKLAT,60 IV,Trust,"No 304,2 g cross,ramaiah lay out kacharakkanahalli HRBR 3rd block kalyan nagar pin code 560084 , BANGALORE, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Vocational Training",ALL,berlindabob@gmail.com,
740,ORIENTAL FOUNDATION,YPR-4-00820-2024-25,Trust,"No.172 7th MAIN GOKULA, 1st STAGE 2nd PHASE, MATHIKERE BANGALORE , Bengaluru North, BENGALURU URBAN (Karnataka) - 560054","Art & Culture, Children, Differently Abled, Education & Literacy, Environment & Forests",MYSURU,sunrisecultureacademy@gmail.com,
741,OSHO LOTUS FOUNDATION,AAATO7796DE20211,Trust,"539,2nd Floor, A Portion, 8th Main Road, Vijaynagar , Bangalore, BENGALURU URBAN (Karnataka) - 560040","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,rajiv@mahaveerdistributors.com,
742,OSHO NISARGAM MEDITATION CENTRE,AAATO4697FE21401,Trust,"B 1 Sagar Retreat 516 6th Main Marutthi Layout Vasanthapura , Bengaluru South, BENGALURU URBAN (Karnataka) - 560061","Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly, Rural Development & Poverty Alleviation",ALL,oshonisarg@gmail.com,
743,P N RAO CHARITABLE TRUST,AAFTP3509CF2023101,Trust,"NO 51, SPRINGDALE, 1ST FLOOR, 3RDCROSS, IIGM CENTRE, REISDENCY ROAD, BANGALORE RESIDENCY ROAD , , Bengaluru South, BENGALURU URBAN (Karnataka) - 560025",Education & Literacy,BENGALURU URBAN,naveenpishe@pnrao.com,
744,PAARUS KNOWLEDGE FOUNDATION,U74999KA20 I 7NPL 102180,Section 8 Company,"38/3, 8th A Main, Srinidhi Layout, Vidyaranyapura, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560097","Differently Abled, Education & Literacy",ALL,paarusknowledgefoundation@gmail.com,https://paarusfoundation.org/
745,PALITREE FOUNDATION,U85100KA2019NPL121700,Section 8 Company,"GF3, PRIMROSE APARTMENT KRISHNAPPA LAYOUT, RMV 2ND STAGE BANGALORE560094 , BANGALORE, BENGALURU URBAN (Karnataka) - 560094","Art & Culture, Children, Differently Abled, Disaster Management, Environment & Forests",ALL,Sudhin@live.com,
746,Panchajanya Foundation,BKIV16512-13,Trust,"No.64, TAVARU, Ground Floor, 15th A Cross, Bhagavathi Layout, Hulimavu, Bengaluru , Bengaluru South, BENGALURU URBAN (Karnataka) - 560076","Differently Abled, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,panchafoundation@gmail.com,
747,PARENTS AND TEACHERS OF STONEHILL INTERNATIONAL SCHOOL,DRB1/SOR/105/2020-2021,Society,"PARENTS AND TEACHERS OF STONEHILL INTERNATIONAL SCHOOL, Jala Hobli, Bangalore North, Bangalore. BANGALORE ZONE 1 YELHANKA NEW TOWN , Bengaluru North, BENGALURU URBAN (Karnataka) - 560064","Art & Culture, Children, Differently Abled, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,raju.sc@stonehill.in,
748,PARENTS ASSOCIATION FOR DIFFERENTLY ABLED ADULTS,DRO/SJN/SOR/387/2014-15,Society,"G-01 UMA SKANDA APARTMENTS 20 EAGLE STREET LANGFORD TOWN BANGALORE 560025 , BANGALORE, BENGALURU URBAN (Karnataka) - 560025","Differently Abled, Vocational Training, Skill Development",ALL,PADABANGALORE@GMAIL.COM,
749,PARENTS ASSOCIATION OF PERSONS WITH CEREBRAL PALSY & ASSOCIATED DISORDERS,195/2003-04,Society,"Mini Bal Bhavan, Jeevan Bheema Nagar, Bangalore- 560 065 , Bangalore, BENGALURU URBAN (Karnataka) - 560065","Children, Differently Abled, Education & Literacy, Skill Development",ALL,papcp.org@gmail.com,
750,PARIMALA NAGARASHRI SHANESHWARA DEVALAYA,BKIV394/2019-20,Trust,"No.597 3rd A Cross, Parimalanagara, S.S. Temple, Nandini Layout , Bengaluru South, BENGALURU URBAN (Karnataka) - 560095","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Aged/Elderly, Animal Welfare",BENGALURU URBAN,astanafaqr@gmail.com,
751,PARISARA SNEHI TRUST,BSK-4-00698-2024-25,Trust,"no 87 1st main 1st cross veerabadranagar bsk 3rd stage bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560085","Animal Husbandry, Dairying & Fisheries, Art & Culture, Aged/Elderly, Sports, Skill Development",BENGALURU RURAL,parisarasnehitrust@gmail.com,
752,PARISHRAMA DIVYANG SPORTS ACADEMY,BNG(U)JNR217-2023-2024,Trust,"No105,1st floor Padmavati Aishwaryam Apartment JP Nagar 7th phase Bangalore -560078 , Bangalore, BENGALURU URBAN (Karnataka) - 560078","Differently Abled, Nutrition, Sports, Skill Development",ALL,parishramasportsacademy23@gmail.com,https://parishramadivyangsportsacademy.org/
753,Parivarthanum,bng(U)JNR699(2016-2017)/BK/IV,Trust,"No 358 Hosur Main Road, Adugodi Bangalore 560030 , Bangalore, BENGALURU URBAN (Karnataka) - 560030","Art & Culture, Children, Civic Issues, Differently Abled, Education & Literacy",ALL,parivarthanum@gmail.com,https://www.parivarthanum.com/
754,PASTORAL EVANGELIZATION AWARENESS CHILDREN EDUCATION(PEACE),DRB2/SOR/107/2024-2025,Society,"4232 CASA-PRADISCO, SHOBHA CITY,HEGADENAGAR , THANISANDRA MAIN ROAD , BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560077","Agriculture, Art & Culture, Children, Differently Abled, Education & Literacy",ALL,boothali53@yahoo.com,
755,Patashala Trust,BNG(U)BSK902013-14,Trust,"19/8, CHANDRA BUILDING ,2ND FLOOR, BYATRAYANPURA , BANGALORE 560026 , BANGALORE, BENGALURU URBAN (Karnataka) - 560026","Art & Culture, Children, Differently Abled, Education & Literacy, Information & Communication Technology",ALL,trust@patashala.org,http://www.patashala.org/
756,PATH TO CALVARY CHARITABLE MISSION TRUST,INR-4-00116-2022,Trust,"NO 351 AMBEDKAR NAGAR PANTHARAPALYA NAYANDAHALLI MYSORE ROAD BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560039","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,pathtocalvarycharitablemission@gmail.com,
757,PEACE AND POWER INTERNATIONAL MARTIAL ARTS TRUST,BDH-4-00174-2022-23,Trust,"4th Main 7th Cross Near Chowdeshwari Temple Kaverinagara Mahadevapura Post Bengaluru North Bengaluru 56048, Karnataka , Bengaluru, BENGALURU URBAN (Karnataka) - 560048","Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Differently Abled, Disaster Management",ALL,hsvishwanath99@gmail.com,
758,PEACE OF GOD SOCIO WELFARE TRUST,BNS-4-00847-2021-22,Trust,"70 CHINNIAPPA GARDEN JEEVANAHALLI COX TOWN BANGALORE NORTH KARNATAKA , BANGALORE, BENGALURU URBAN (Karnataka) - 560005","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,peaceofsociowelfaretrust@gmail.com,
759,PEOPLE CARE FOUNDATION,KEN-4-00075-2023-24,Trust,"PEOPLE CARE FOUNDATION 13 Cinchana7th cross GANAPATHI NAGARA Bangalore 560058Karnataka , Bangalore, BENGALURU URBAN (Karnataka) - 560058","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Civic Issues, Differently Abled",ALL,cgkowdle@gmail.com,
760,PERSONFIRST FOUNDATION,U85213KA2025NPL199998,Section 8 Company,"Personfirst Foundation 756, JalVayu Towers, Bypnhli Rly Stn, Sadanand Nagar, Indiranagar, Bangalore-560038 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560038","Children, Differently Abled, Sports, Women's Development & Empowerment, Youth Affairs",BENGALURU URBAN,dgaurav2@gmail.com,
761,Power Ministries India,SHV-4-00206-2004-05,Trust,"A/3 Kingston Manor ,#3, Kinston Road, Richmond Town, Bangalore-560025 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560025","Differently Abled, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Vocational Training",ALL,locicc@gmail.com,
762,POWER VISION SOCIO CHARITABLE TRUST,BNS-4-00838-2021-22,Trust,"NO 12 2 43 1ST CROSS OLD TOLGATE MYSORE ROAD BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560026","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,powervissionsociocharitable@gmail.com,
763,PRABHUJI FOUNDATION,BK4-256/21-22,Trust,"57, 2nd Cross, Gayathri Devi Park Extension, Opposite to Stella Maris School, Bengaluru 560003 , Bengaluru, BENGALURU URBAN (Karnataka) - 560003","Biotechnology, Children, Differently Abled, Disaster Management, Education & Literacy",ALL,foundation.prabhuji@gmail.com,
764,PRABUDDHA FOUNDATION,SRI-4-00309-2024-25,Trust,"No. 425/H 9th E Main, 5th Cross, Hosahalli, Vijayanagar, Bengaluru North , Bengaluru North, BENGALURU URBAN (Karnataka) - 560040","Art & Culture, Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests",ALL,prabuddhafoundations@gmail.com,
765,Pragathi Charitable Trust,JAY-4-01253-2015-16,Trust,"Head Office: No.1726 GD Residency, 5th Cross, AECS Layout, Singasandra, Bangalore-5600684059,Branch-1: VGP Building, Near Gangammagudi Temple, KBP Road, MULTYALAPET, MULBAGAL, KOLAR DIST-563131 , BANGALORE, BENGALURU URBAN (Karnataka) - 560011","Children, Differently Abled, Drinking Water, Education & Literacy, Aged/Elderly",ALL,munesh@pragathitrust.org,https://www.pragathitrust.org/
766,PRAGATI FOUNDATION,AAFTP4235RE20231,Trust,"NO 881/A 2ND FLOOR YASHODHARAA, MODI HOSPITAL ROAD ,Bangalore North, Basaveshwaranagar S.O560079 , BANGALORE, BENGALURU URBAN (Karnataka) - 560079","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Women's Development & Empowerment",ALL,shankarakalakendra@gmail.com,
767,PRAGATI GRAMEEN ABHIVRUDHI SEVA SANGHA,555/2018-19,Society,"Balaji Layout, Renuka Nagar, Bangalore , Anekal, BENGALURU URBAN (Karnataka) - 562125","Agriculture, Environment & Forests, Health & Family Welfare, Panchayati Raj, Rural Development & Poverty Alleviation",HAVERI,pragatiseva2019@gmail.com,
768,PRAGNYA CHARITABLE TRUST,SHV-4-00740-2022-23,Trust,"H1701 Purva Palm Beach apartmentElus road Hanumanthappa Layout Kyalasanahalli Doddagubbi , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Differently Abled, Education & Literacy, Sports, Vocational Training, Women's Development & Empowerment",ALL,das.suchismita1408@gmail.com,http://www.pragnyacharitabletrust.org/
769,PRAGYA NOVA EDUCATIONAL FOUNDATION,BNGUJNR10812024-25,Trust,"E-block, 606, Aakruti Amity Apartments, Ananthnagar Phase 2, Kammasandra main Road, Electronic City Phase 2 , Anekal, BENGALURU URBAN (Karnataka) - 560100","Education & Literacy, Sports, Vocational Training",BENGALURU URBAN,pragyanova.foundation@gmail.com,
770,PRAISE EVANGELICAL CHURCH,IV-92/2024-25,Trust,"No 16 and 17, Flat No 105, Blessed Home, Near Aditya Service Station, 4th Cross, Horamavu Agara, Bengaluru - 560043 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Vocational Training",BENGALURU URBAN,anilministries.in@gmail.com,
771,PRAJASHAKTI CHARITABLE TRUST,GNRD920/GNR-4-00404-2021-22,Trust,"No 32 ,1st Main, 7th Cross, Devegowda Road, Near V-Care Hospital, R T Nagar , BANGALORE, BENGALURU URBAN (Karnataka) - 560032","Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare",ALL,prajashaktict@gmail.com,
772,Prajayatna,107/2007-08,Society,"No.331, 1st Floor, 1st A Main 7th Block Jayanagar west Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560070","Children, Differently Abled, Education & Literacy, Nutrition",ALL,mary@prajayatna.in,http://www.prajayatna.org/
773,Prakash Foundation,BNG U SHR 269 25-26 BK IV,Trust,"A-208, Gopalan Admirality Square, 13th Cross, 6th Main, Indiranagar , Bengaluru North, BENGALURU URBAN (Karnataka) - 560038","Differently Abled, Food Processing, Vocational Training",BENGALURU URBAN,prakashfoundationblr@gmail.com,
774,Prakhyata Abhinand Charitable Trust,BNS-4-00790-2019-20,Trust,"NO 1 MVH ComplexHoysala Nagar 3rd Main RoadHoramavu , Bengaluru, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled, Aged/Elderly",ALL,reuband@pactindia.org,
775,Prarambha,324/84-85,Trust,"Prarambha 25/1,1st Cross, CaptainMunishiLay Out,Hennur Main Road, Lingarajapuram.Bengaluru 560084 , bangalore, BENGALURU URBAN (Karnataka) - 560068","Differently Abled, Human Rights, Labour & Employment, Land Resources, Nutrition",ALL,shankar@prarambha.ngo,
776,prashanth foundation,100/2012-2013,Trust,"NO 1 AND 2, N R MANSION, V S REDDY COLONY, KADUGODI, BANGALORE-560067 , BANGALORE, BENGALURU URBAN (Karnataka) - 560067","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,vm.prashanth@gmail.com,http://www.prashanthfoundation.com/
777,Pratha Indic Renaissance,MDP-4-00401-2024-25,Trust,"AMBIKA SQUARE, A- 53, Whitefield Main Road, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560016","Education & Literacy, Environment & Forests, Health & Family Welfare, Youth Affairs, Skill Development",BENGALURU URBAN,vishalduttavkv@gmail.com,
778,Pratidhwani Sports and Cultural Association,BSG-4-00417-2021-22,Trust,"105, 3rd Cross, 4th Block, Thyagaraj Nagar , Bengaluru South, BENGALURU URBAN (Karnataka) - 560070","Art & Culture, Environment & Forests, Health & Family Welfare, Sports, Skill Development",BENGALURU URBAN,ramaiah.kumar@yahoo.com,https://ngodarpan.gov.in/www.pratidhwani-sports.org
779,Prerana Resource Centre,199/94-95,Society,"Prerana Resource Centre(R) No.6, 7th Main,1st Cross, 3rd Block, Sonnappa Road, Goruguntepalya, Bangalore - 560022. Karnataka. , Bangalore, BENGALURU URBAN (Karnataka)","Dalit Upliftment, Differently Abled, Aged/Elderly, Health & Family Welfare, Rural Development & Poverty Alleviation",ALL,prashantha_prc@rediffmail.com,http://prc.co.in/
780,PRESTIGE JINDAL CITY MUSLIM BENOVALENT TRUST,00032/2024-25,Trust,"Apartment # 24307 Prestige Jindal City Chikkabidarakallu Bengaluru 560073 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560073","Children, Education & Literacy, Aged/Elderly, Women's Development & Empowerment, Religious",ALL,president.pjcmbt@gmail.com,
781,PREVENTIA WELFARE FOUNDATION,143855,Section 8 Company,"No.60, Preventia House, Nakshatra Layout, Kothanur, Kothanur SO , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Differently Abled, Education & Literacy, Health & Family Welfare, Skill Development",ALL,pratap@thepreventia.com,https://preventiawelfare.in/
782,PRIME GROUP OF INSTITUTIONS AND CHARITABLE TRUST,PNY-4-00055-2015-16,Trust,"5th Main , C.N. Palya ,Muniswamappa Layout , Nagasandra Post , Bangalore 560073 , Bangalore, BENGALURU URBAN (Karnataka) - 560073","Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare, Information & Communication Technology",ALL,primelifeblr@gmail.com,
783,PRIME LEARNING ACADEMY,JAY-4-00874-2021-22 JAYD1183,Trust,"Flat No 201, Satya Elite, No.18, KLV Layout, JP Nagar, 8th Phase , Bengaluru South, BENGALURU URBAN (Karnataka) - 560076",Education & Literacy,BENGALURU URBAN,vijaykumarkc@gmail.com,
784,PRINCE OF PEACE MINISTRIES TRUST,INR-4-00305-2019-20,Trust,"3rd floor, Monarch Chambers, 2, Infantry Rd, Shivaji Nagar, Bengaluru, Karnataka 560001 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Children, Differently Abled, Drinking Water, Education & Literacy, Aged/Elderly",BENGALURU URBAN,Princeofpeaceprayerhouse@gmail.com,
785,PRO-TEK INDIA,KCH-4-00047-2023-24,Trust,"72/4, Sultanpalya main road, rt nagar post , Bengaluru North, BENGALURU URBAN (Karnataka) - 560032","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Aged/Elderly",BENGALURU URBAN,INFO.PROTEKINDIA@GMAIL.COM,
786,PROVISION ASIA,TRUST 811/98-99,Trust,"NO. 30/1, 2nd B Main, 2nd B Cross,Athmananda Colony, Sultan palaya, Bangalore -560032 , BANGALORE, BENGALURU URBAN (Karnataka) - 560032","Children, Differently Abled, Education & Literacy, Vocational Training, Women's Development & Empowerment",ALL,selvanayagam@provisionasia.org,https://www.provisionasia.org/
787,PRUTHVI FOUNDATION,DRB3/SOR/15/2018-2019,Society,"NO.312, 1st Cross, Teachers Colony, Opp. Swamy Vivekananda School, Behind Poorvika Anekal Main Road, Chandapura, Anekal Taluk, BANGALORE,Karnataka, , Anekal, BENGALURU URBAN (Karnataka) - 560099","Art & Culture, Aged/Elderly, Environment & Forests, Micro Finance (SHGs)",BENGALURU URBAN,pruthvifoundation46@gmail.com,
788,PUNARJANMAA CHARITABLE TRUST,SGR-4-00273-2024-25,Trust,"NO: 253, 9th main, 5th cross road, HMT layout, 2nd Block, Vidyaranyapura, Bangalore 560097 , Bangalore, BENGALURU URBAN (Karnataka) - 560097","Children, Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests",ALL,punarjanmaacharitabletrust@gmail.com,
789,PUNYA DEEPA VRADHAASHRAMA SEVA SANGHA,DRB3/SOR/321/2025-2026,Trust,"Punya Deepa Vrudhaashrama Seva Sangha, Priyankanagara, Segehalli, Virgonagar Post K R Puram, Bangalore 560036 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560049",Aged/Elderly,BENGALURU URBAN,sandhyayesu78@gmail.com,
790,Punyakoti Charitable Trust,BNG9U0-KNGR/300/2023-24,Trust,"No 636 3rd Cross Veeranjaneya Swamy Temple Street Gangondanahalli Bangalore 560039 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560039","Children, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests",BENGALURU URBAN,nethramahendra2007@gmail.com,
